"char";"storage";"item";"quantity"
"Aniyah";"inventory";"SP Gobbie Key";"5"
"Aniyah";"inventory";"Storage Slip 27";"1"
"Aniyah";"inventory";"Storage Slip 02";"1"
"Aniyah";"inventory";"Storage Slip 08";"1"
"Aniyah";"inventory";"Storage Slip 16";"1"
"Aniyah";"inventory";"Ibushi Shinai";"1"
"Aniyah";"inventory";"Storage Slip 22";"1"
"Aniyah";"inventory";"Kaja Knuckles";"1"
"Aniyah";"inventory";"Second Virtue";"1"
"Aniyah";"inventory";"Storage Slip 01";"1"
"Aniyah";"inventory";"Storage Slip 10";"1"
"Aniyah";"inventory";"Storage Slip 21";"1"
"Aniyah";"inventory";"Zanmato";"1"
"Aniyah";"inventory";"Pitchfork";"1"
"Aniyah";"inventory";"Storage Slip 18";"1"
"Aniyah";"inventory";"Storage Slip 03";"1"
"Aniyah";"inventory";"Storage Slip 25";"1"
"Aniyah";"inventory";"Storage Slip 17";"1"
"Aniyah";"inventory";"Storage Slip 06";"1"
"Aniyah";"inventory";"Segomo's Mantle";"5"
"Aniyah";"inventory";"Storage Slip 14";"1"
"Aniyah";"inventory";"Pumpkin Pie";"1"
"Aniyah";"inventory";"Pugiunculus";"1"
"Aniyah";"inventory";"Count's Cuffs";"1"
"Aniyah";"inventory";"Storage Slip 20";"1"
"Aniyah";"inventory";"Storage Slip 28";"1"
"Aniyah";"inventory";"Rao Sune-Ate";"1"
"Aniyah";"inventory";"Storage Slip 23";"1"
"Aniyah";"inventory";"Bellona's Ring";"1"
"Aniyah";"inventory";"Rao Togi";"1"
"Aniyah";"inventory";"Storage Slip 26";"1"
"Aniyah";"inventory";"Seiryu Scrap";"2"
"Aniyah";"inventory";"Beitetsu";"18"
"Aniyah";"inventory";"Storage Slip 04";"1"
"Aniyah";"inventory";"Storage Slip 24";"1"
"Aniyah";"inventory";"Pluton";"2"
"Aniyah";"inventory";"Riftborn Boulder";"10"
"Aniyah";"inventory";"Storage Slip 15";"1"
"Aniyah";"inventory";"Storage Slip 07";"1"
"Aniyah";"inventory";"Storage Slip 09";"1"
"Aniyah";"wardrobe";"Shadow Mantle";"1"
"Aniyah";"wardrobe";"Locus Ring";"1"
"Aniyah";"wardrobe";"Adoulin's Refuge +1";"1"
"Aniyah";"wardrobe";"Steelflash Earring";"1"
"Aniyah";"wardrobe";"Iridal Staff";"1"
"Aniyah";"wardrobe";"Ogapepo Cape";"1"
"Aniyah";"wardrobe";"Rajas Ring";"1"
"Aniyah";"wardrobe";"Hermes' Sandals";"1"
"Aniyah";"wardrobe";"Ethereal Earring";"1"
"Aniyah";"wardrobe";"Prolix Ring";"1"
"Aniyah";"wardrobe";"Bladeborn Earring";"1"
"Aniyah";"wardrobe";"Fucho-no-Obi";"1"
"Aniyah";"wardrobe";"Merman's Earring";"2"
"Aniyah";"wardrobe";"Witful Belt";"1"
"Aniyah";"wardrobe";"Fotia Belt";"1"
"Aniyah";"wardrobe";"Flume Belt";"1"
"Aniyah";"wardrobe";"Niqmaddu Ring";"1"
"Aniyah";"wardrobe";"Sherida Earring";"1"
"Aniyah";"wardrobe";"Councilor's Garb";"1"
"Aniyah";"wardrobe";"Friomisi Earring";"1"
"Aniyah";"wardrobe";"Bilious Torque";"1"
"Aniyah";"wardrobe";"Ovate Rope";"1"
"Aniyah";"wardrobe";"Zennaroi Earring";"1"
"Aniyah";"wardrobe";"Psystorm Earring";"1"
"Aniyah";"wardrobe";"Dudgeon Earring";"1"
"Aniyah";"wardrobe";"Hecate's Earring";"1"
"Aniyah";"wardrobe";"Suppanomimi";"1"
"Aniyah";"wardrobe";"Windbuffet Belt";"1"
"Aniyah";"wardrobe";"Shadow Ring";"1"
"Aniyah";"wardrobe";"Anu Torque";"1"
"Aniyah";"wardrobe";"Garuda Ring";"1"
"Aniyah";"wardrobe";"Asklepian Ring";"1"
"Aniyah";"wardrobe";"Sanctity Necklace";"1"
"Aniyah";"wardrobe";"Archon Ring";"1"
"Aniyah";"wardrobe";"Haruspex Hat";"1"
"Aniyah";"wardrobe";"Fotia Gorget";"1"
"Aniyah";"wardrobe";"Ramuh Ring";"2"
"Aniyah";"wardrobe";"Loquac. Earring";"1"
"Aniyah";"wardrobe";"Lifestorm Earring";"1"
"Aniyah";"wardrobe";"Petrov Ring";"1"
"Aniyah";"wardrobe";"Repulse Mantle";"1"
"Aniyah";"wardrobe";"Prosilio Belt";"1"
"Aniyah";"wardrobe";"Lengo Pants";"1"
"Aniyah";"wardrobe";"Rufescent Ring";"1"
