"char";"storage";"item";"quantity"
"Dasmir";"inventory";"Jhakri Coronal +2";"1"
"Dasmir";"inventory";"SP Gobbie Key";"15"
"Dasmir";"inventory";"Capacity Ring";"1"
"Dasmir";"inventory";"Hecate's Earring";"1"
"Dasmir";"inventory";"Jhakri Cuffs +2";"1"
"Dasmir";"inventory";"Peda. Gown +1";"1"
"Dasmir";"inventory";"Jhakri Slops +2";"1"
"Dasmir";"inventory";"Arbatel Gown +1";"1"
"Dasmir";"inventory";"Ghastly Tathlum";"1"
"Dasmir";"inventory";"Trizek Ring";"1"
"Dasmir";"inventory";"Culminus";"1"
"Dasmir";"inventory";"Animus Minuo";"1"
"Dasmir";"inventory";"Bullet";"19"
"Dasmir";"inventory";"Lathi";"1"
"Dasmir";"inventory";"Acad. Pants +1";"1"
"Dasmir";"inventory";"Arbatel Bonnet +1";"1"
"Dasmir";"inventory";"Coin of Birth";"2"
"Dasmir";"inventory";"Sucellus";"1"
"Dasmir";"inventory";"Refractive Crystal";"7"
"Dasmir";"inventory";"Mall. Chapeau +2";"1"
"Dasmir";"inventory";"Acad. Gown +1";"1"
"Dasmir";"inventory";"Adloquium";"1"
"Dasmir";"inventory";"Acad. Mortar. +1";"1"
"Dasmir";"inventory";"Mallquis Trews +2";"1"
"Dasmir";"inventory";"Peda. Loafers +1";"1"
"Dasmir";"inventory";"Arbatel Pants +1";"1"
"Dasmir";"inventory";"Silver Voucher";"1"
"Dasmir";"inventory";"Arbatel Bracers +1";"1"
"Dasmir";"inventory";"Remedy";"18"
"Dasmir";"inventory";"Vorpal Sword";"1"
"Dasmir";"inventory";"Mallquis Cuffs +2";"1"
"Dasmir";"inventory";"Lugh's Cape";"3"
"Dasmir";"inventory";"Animus Augeo";"1"
"Dasmir";"inventory";"Jhakri Pigaches +2";"1"
"Dasmir";"inventory";"Mallquis Clogs +2";"1"
"Dasmir";"inventory";"Acad. Bracers +1";"1"
"Dasmir";"inventory";"Peda. Bracers +1";"1"
"Dasmir";"inventory";"Jhakri Robe +2";"1"
"Dasmir";"inventory";"Arbatel Loafers +1";"1"
"Dasmir";"inventory";"Peda. Pants +1";"1"
"Dasmir";"inventory";"Peda. M.Board +1";"1"
