"char";"storage";"item";"quantity"
"Dela";"inventory";"SP Gobbie Key";"1"
"Dela";"inventory";"Warblade's Hide";"10"
"Dela";"inventory";"G. Grenade's Ash";"9"
"Dela";"inventory";"Malatrix's Shard";"10"
"Dela";"inventory";"Centurio's Armor";"3"
"Dela";"inventory";"Ayapec's Shell";"5"
"Dela";"inventory";"Baldurno's Horn";"11"
"Dela";"inventory";"Joyous's Moss";"18"
"Dela";"inventory";"Heiligtum's Moss";"1"
"Dela";"inventory";"Mephitas's Claw";"3"
"Dela";"inventory";"Largantua's Shard";"1"
"Dela";"inventory";"Specter's Ore";"6"
"Dela";"inventory";"Imperator's Wing";"8"
"Dela";"inventory";"Infinity Core";"1"
"Dela";"inventory";"Voso's Hide";"10"
"Dela";"inventory";"Leafslit Stone";"1"
"Dela";"inventory";"Glazemane's Fang";"9"
"Dela";"inventory";"Intuila's Hide";"3"
"Dela";"inventory";"Bambrox's Shawl";"9"
"Dela";"inventory";"Coca's Wing";"12"
"Dela";"inventory";"Arke's Wing";"11"
"Dela";"inventory";"Miratete's Mem.";"1"
"Dela";"inventory";"Ethereal Incense";"3"
"Dela";"inventory";"Vidmapire's Claw";"6"
"Dela";"inventory";"Clawberry's Coat";"19"
"Dela";"inventory";"Vermillion's Wing";"11"
"Dela";"inventory";"Mhuufya's Beak";"16"
"Dela";"inventory";"Abyssdiver Feather";"17"
"Dela";"inventory";"Daimonic Casing";"1"
"Dela";"inventory";"Immani. Hide";"3"
"Dela";"inventory";"Muut's Vestment";"9"
"Dela";"inventory";"Samwell's Shank";"1"
"Dela";"inventory";"Tolba's Shell";"10"
"Dela";"inventory";"Veloz's Needle";"6"
"Dela";"inventory";"Pitriv's Thread";"15"
"Dela";"inventory";"Bblr.'s Vambrace";"1"
"Dela";"inventory";"Mender's Log";"5"
"Dela";"inventory";"Belinda's Hide";"2"
"Dela";"inventory";"Ninlil's Bone";"7"
"Dela";"inventory";"Immortal Molt";"1"
"Dela";"inventory";"Vedrfolnir's Wing";"2"
"Dela";"inventory";"Sleepy Mabel's Fur";"16"
"Dela";"inventory";"V. Cluster's Ash";"9"
"Dela";"inventory";"Iriz Ima's Hide";"1"
"Dela";"inventory";"Hidhaegg's Scale";"9"
"Dela";"inventory";"Tiyanak's Fang";"5"
"Dela";"inventory";"Azrael's Eye";"7"
"Dela";"inventory";"Strix's Tailfeather";"7"
"Dela";"inventory";"Bakunawa's Ink";"3"
"Dela";"inventory";"Uropygid's Needle";"8"
"Dela";"inventory";"Duskslit Stone";"1"
"Dela";"inventory";"G. Gel's Mucus";"1"
"Dela";"inventory";"Beist's Blood";"8"
"Dela";"inventory";"Samantha's Vine";"5"
"Dela";"inventory";"Tumult's Blood";"4"
"Dela";"inventory";"Celine's Vine";"4"
"Dela";"inventory";"Jill's Spittle";"9"
"Dela";"inventory";"Sovereign's Hide";"16"
"Dela";"inventory";"Shedu's Mane";"7"
"Dela";"inventory";"Harold's Ore";"12"
"Dela";"inventory";"Sarama's Hide";"20"
"Dela";"inventory";"Orcfeltrap's Leaf";"2"
"Dela";"wardrobe";"Feast Hose";"1"
"Dela";"wardrobe";"Quarrel Mantle";"1"
"Dela";"wardrobe";"Shield Torque";"1"
"Dela";"wardrobe";"Strophadic Earring";"1"
"Dela";"wardrobe";"Xaddi Mail";"1"
"Dela";"wardrobe";"Tatena. Haramaki";"1"
"Dela";"wardrobe";"Rigorous Grip";"1"
"Dela";"wardrobe";"Strendu Ring";"1"
"Dela";"wardrobe";"Wyvern Feed";"1"
"Dela";"wardrobe";"Star Earring";"1"
"Dela";"wardrobe";"Cizin Mufflers +1";"1"
"Dela";"wardrobe";"Iuitl Vest +1";"1"
"Dela";"wardrobe";"Ungur Boomerang";"1"
"Dela";"wardrobe";"Emet Harness";"1"
"Dela";"wardrobe";"Penetrating Cape";"1"
"Dela";"wardrobe";"Perception Ring";"1"
"Dela";"wardrobe";"Plenitas Virga";"1"
"Dela";"wardrobe";"Tema. Headband";"1"
"Dela";"wardrobe";"Umbani Cap";"1"
"Dela";"wardrobe";"Buccaneer's Belt";"1"
"Dela";"wardrobe";"Kumbira Cape";"1"
"Dela";"wardrobe";"Quiahuiz Trousers";"1"
"Dela";"wardrobe";"Ninjutsu Earring";"1"
"Dela";"wardrobe";"Dawnsoul Ring";"1"
"Dela";"wardrobe";"Iuitl Headgear";"1"
"Dela";"wardrobe";"Cizin Breeches +1";"1"
"Dela";"wardrobe";"Artsieq Cuffs";"1"
"Dela";"wardrobe";"Magneto";"1"
"Dela";"wardrobe";"Uk'uxkaj Cap";"1"
"Dela";"wardrobe";"Hecate's Earring";"1"
"Dela";"wardrobe";"Otro. Harness +1";"1"
"Dela";"wardrobe";"Umuthi Gloves";"1"
"Dela";"wardrobe";"Ishtar's Collar";"1"
"Dela";"wardrobe";"Temachtiani Boots";"1"
"Dela";"wardrobe";"Reacton Arm";"1"
"Dela";"wardrobe";"Iuitl Gaiters";"1"
"Dela";"wardrobe";"Redan Gloves";"1"
"Dela";"wardrobe";"Augury Cuisses";"1"
"Dela";"wardrobe";"Temachtiani Pants";"1"
"Dela";"wardrobe";"Vespid Mantle";"1"
"Dela";"wardrobe";"Adorned Helm";"1"
"Dela";"wardrobe";"Iuitl Tights +1";"1"
"Dela";"wardrobe";"Whirlpool Greaves";"1"
"Dela";"wardrobe";"Mekki Shakki";"1"
"Dela";"wardrobe";"Illapa";"1"
"Dela";"wardrobe";"Cizin Greaves +1";"1"
"Dela";"wardrobe";"Cizin Mail +1";"1"
"Dela";"wardrobe";"Refined Grip";"1"
"Dela";"wardrobe";"Yaoyotl Helm";"1"
"Dela";"wardrobe";"Temachtiani Shirt";"1"
"Dela";"wardrobe";"Mekira Meikogai";"1"
"Dela";"wardrobe";"Vadose Rod";"1"
"Dela";"wardrobe";"Izhiikoh";"1"
"Dela";"wardrobe";"Ocean Belt";"1"
"Dela";"wardrobe";"Guarding Torque";"1"
"Dela";"wardrobe";"Buckler Earring";"1"
"Dela";"wardrobe";"Octant";"1"
"Dela";"wardrobe";"Kunimune +1";"1"
"Dela";"wardrobe";"Beheader";"1"
"Dela";"wardrobe";"Sangoma Ring";"1"
"Dela";"wardrobe";"Whirlpool Mask";"1"
"Dela";"wardrobe";"Hime Domaru";"1"
"Dela";"wardrobe";"Battlecast Gaiters";"1"
"Dela";"wardrobe";"Pouwhenua";"1"
"Dela";"wardrobe";"Parrying Torque";"1"
"Dela";"wardrobe";"Nekhen Ring";"1"
"Dela";"wardrobe";"Atheling Mantle";"1"
"Dela";"wardrobe";"Cloud Hairpin";"1"
"Dela";"wardrobe";"Gende. Galosh. +1";"1"
"Dela";"wardrobe";"Justiciar's Torque";"1"
"Dela";"wardrobe";"Singing Earring";"1"
"Dela";"wardrobe";"Bomb Queen Ring";"1"
"Dela";"wardrobe";"Temachtiani Gloves";"1"
"Dela";"wardrobe";"Hike Khat";"1"
"Dela";"wardrobe";"Enfeebling Torque";"1"
"Dela";"wardrobe";"Ejekamal Boots";"1"
"Dela";"wardrobe";"Sorcerer's Ring";"1"
"Dela";"wardrobe";"Tatena. Sune.";"1"
"Dela";"wardrobe";"Alert Ring";"1"
"Dela";"wardrobe";"Toci's Harness";"1"
"Dela";"safe";"Alexandrite";"7722"
"Dela";"safe";"H♂ Mannequin";"1"
"Dela";"safe";"Panetiere";"1"
"Dela";"storage";"Alexandrite";"7920"
"Dela";"locker";"Alexandrite";"6534"
"Dela";"locker";"Mulcibar's Scoria";"3"
"Dela";"satchel";"Samariri Corpsehair";"1"
"Dela";"satchel";"100 Byne Bill";"1"
"Dela";"satchel";"O. Bronzepiece";"10"
"Dela";"satchel";"Holy Goad";"1"
"Dela";"satchel";"Beitetsu";"90"
"Dela";"satchel";"Rock Juice";"1"
"Dela";"satchel";"Senorita Pamama";"1"
"Dela";"satchel";"Pirate's Chart";"1"
"Dela";"satchel";"Teekess. Fragment";"1"
"Dela";"satchel";"Hct. Mittens +1";"1"
"Dela";"satchel";"Shadescale Talon";"1"
"Dela";"satchel";"Archaic Mirror";"1"
"Dela";"satchel";"Phoenix Feather";"18"
"Dela";"satchel";"Magenta Chip";"1"
"Dela";"satchel";"Brigand's Chart";"1"
"Dela";"satchel";"Yggdreant Bole";"2"
"Dela";"satchel";"Odious Blood";"1"
"Dela";"satchel";"Eschalixir +1";"9"
"Dela";"satchel";"Pellucid Stone";"17"
"Dela";"satchel";"Fern Stone";"11"
"Dela";"satchel";"Duskcrawler";"1"
"Dela";"satchel";"Cirein. Lantern";"1"
"Dela";"satchel";"Airlixir";"6"
"Dela";"satchel";"1 Byne Bill";"7"
"Dela";"satchel";"Hct. Leggings +1";"1"
"Dela";"satchel";"Blood Fng. Gnt.";"1"
"Dela";"satchel";"Olzhiryan Cactus";"1"
"Dela";"satchel";"Riftborn Boulder";"76"
"Dela";"satchel";"Airlixir +1";"3"
"Dela";"satchel";"M. Silverpiece";"1"
"Dela";"satchel";"Buffalo Corpse";"1"
"Dela";"satchel";"Alexandrite";"53"
"Dela";"satchel";"Myrrh";"1"
"Dela";"satchel";"Sheep Botfly";"1"
"Dela";"satchel";"Hct. Subligar +1";"1"
"Dela";"satchel";"Defiant Sweat";"2"
"Dela";"satchel";"Darkflame Arm";"1"
"Dela";"satchel";"Abdhaljs Seal";"2"
"Dela";"satchel";"Verdigris St. +2";"1"
"Dela";"satchel";"Bukhis's Wing";"1"
"Dela";"satchel";"Maliya. Coral Orb";"20"
"Dela";"satchel";"Void Crystal";"1"
"Dela";"satchel";"Waktza Crest";"2"
"Dela";"satchel";"Pil's Tuille";"1"
"Dela";"satchel";"Forbidden Key";"60"
"Dela";"satchel";"Blood Cuisses";"1"
"Dela";"satchel";"Airlixir +2";"1"
"Dela";"satchel";"Pure Blood";"1"
"Dela";"satchel";"Koh-I-Noor";"1"
"Dela";"satchel";"Plumbago";"3"
"Dela";"satchel";"Eschalixir +2";"1"
"Dela";"satchel";"Riftcinder";"29"
"Dela";"satchel";"H-P Bayld";"72"
"Dela";"satchel";"Heavy Metal";"192"
"Dela";"satchel";"Eschalixir";"10"
"Dela";"satchel";"Hct. Harness +1";"1"
"Dela";"satchel";"Waktza Rostrum";"3"
"Dela";"satchel";"Armada Hauberk";"1"
"Dela";"satchel";"Pluton";"158"
"Dela";"satchel";"T. Whiteshell";"13"
"Dela";"satchel";"Exalted Log";"1"
"Dela";"satchel";"Hecatomb Cap +1";"1"
"Dela";"satchel";"Wailing Stone";"2"
"Dela";"sack";"C.Abjuration: Lg.";"1"
"Dela";"sack";"T.Abjuration: Ft.";"1"
"Dela";"sack";"N.Abjuration: Hd.";"1"
"Dela";"sack";"W.Abjuration: Hn.";"1"
"Dela";"sack";"Va.Abjuration: Lg.";"1"
"Dela";"sack";"L.Abjuration: Hn.";"1"
"Dela";"sack";"M.Abjuration: Hn.";"1"
"Dela";"sack";"Ve.Abjuration: Lg.";"1"
"Dela";"sack";"Tr.Abjuration: Hn.";"1"
"Dela";"sack";"H.Abjuration: Ft.";"1"
"Dela";"sack";"C.Abjuration: Hd.";"1"
"Dela";"sack";"S.Abjuration: Hn.";"1"
"Dela";"sack";"A.Abjuration: Ft.";"1"
"Dela";"sack";"A.Abjuration: Hd.";"1"
"Dela";"sack";"L.Abjuration: Ft.";"1"
"Dela";"sack";"W.Abjuration: Bd.";"1"
"Dela";"sack";"Cr.Abjuration: Hd.";"1"
"Dela";"sack";"Gr.Abjuration: Ft.";"1"
"Dela";"sack";"L.Abjuration: Bd.";"1"
"Dela";"sack";"A.Abjuration: Bd.";"1"
"Dela";"sack";"T.Abjuration: Lg.";"1"
"Dela";"sack";"P.Abjuration: Hn.";"1"
"Dela";"sack";"E.Abjuration: Bd.";"1"
"Dela";"sack";"F.Abjuration: Hd.";"1"
"Dela";"sack";"M.Abjuration: Lg.";"1"
"Dela";"sack";"Ab.Abjuration: Hd.";"1"
"Dela";"sack";"Ab.Abjuration: Lg.";"1"
"Dela";"sack";"M.Abjuration: Ft.";"1"
"Dela";"sack";"A.Abjuration: Lg.";"1"
"Dela";"sack";"A.Abjuration: Hn.";"1"
