"char";"storage";"item";"quantity"
"Olymoly";"inventory";"Rawhide Boots";"1"
"Olymoly";"inventory";"Adhemar Bonnet";"1"
"Olymoly";"inventory";"Storage Slip 27";"1"
"Olymoly";"inventory";"Mog Pell (Red)";"1"
"Olymoly";"inventory";"Storage Slip 16";"1"
"Olymoly";"inventory";"Mars Orb";"1"
"Olymoly";"inventory";"Venus Orb";"1"
"Olymoly";"inventory";"Blue Pondweed";"1"
"Olymoly";"inventory";"Kaja Axe";"1"
"Olymoly";"inventory";"Yokaze Mantle";"1"
"Olymoly";"inventory";"Storage Slip 01";"1"
"Olymoly";"inventory";"Adhemar Bonnet +1";"1"
"Olymoly";"inventory";"Pulse Cell: He";"1"
"Olymoly";"inventory";"Storage Slip 21";"1"
"Olymoly";"inventory";"Samnuha Coat";"1"
"Olymoly";"inventory";"Adhemar Wrist. +1";"1"
"Olymoly";"inventory";"Pitchfork";"1"
"Olymoly";"inventory";"Storage Slip 18";"1"
"Olymoly";"inventory";"Adhemar Wristbands";"1"
"Olymoly";"inventory";"Floral Gauntlets";"1"
"Olymoly";"inventory";"Adhemar Jacket +1";"1"
"Olymoly";"inventory";"Kaja Grip";"1"
"Olymoly";"inventory";"Abnoba Kaftan";"1"
"Olymoly";"inventory";"Rounsey Wand";"1"
"Olymoly";"inventory";"Zanmato";"1"
"Olymoly";"inventory";"Sweet Tea";"1"
"Olymoly";"inventory";"SP Gobbie Key";"13"
"Olymoly";"inventory";"Samnuha Tights";"1"
"Olymoly";"inventory";"Silver Voucher";"2"
"Olymoly";"inventory";"S. Kindred Crest";"3"
"Olymoly";"inventory";"Storage Slip 28";"1"
"Olymoly";"inventory";"Ochu";"2"
"Olymoly";"inventory";"Storage Slip 23";"1"
"Olymoly";"inventory";"Storage Slip 24";"1"
"Olymoly";"inventory";"Ebony Log";"12"
"Olymoly";"inventory";"Storage Slip 26";"1"
"Olymoly";"inventory";"Copper Voucher";"1"
"Olymoly";"inventory";"Storage Slip 17";"1"
"Olymoly";"inventory";"Storage Slip 25";"1"
"Olymoly";"inventory";"Storage Slip 08";"1"
"Olymoly";"inventory";"Kindred's Seal";"1"
"Olymoly";"inventory";"Andartia's Mantle";"1"
"Olymoly";"inventory";"Storage Slip 15";"1"
"Olymoly";"inventory";"Dampening Tam";"1"
"Olymoly";"inventory";"Storage Slip 20";"1"
"Olymoly";"wardrobe";"Eschan Stone";"1"
"Olymoly";"wardrobe";"Petrov Ring";"1"
"Olymoly";"wardrobe";"Dark Ring";"1"
"Olymoly";"wardrobe";"Rufescent Ring";"1"
"Olymoly";"wardrobe";"Rajas Ring";"1"
"Olymoly";"wardrobe";"Ioskeha Belt +1";"1"
"Olymoly";"wardrobe";"Hachirin-no-Obi";"1"
"Olymoly";"wardrobe";"Enchntr. Earring +1";"1"
"Olymoly";"wardrobe";"Prolix Ring";"1"
"Olymoly";"wardrobe";"Fucho-no-Obi";"1"
"Olymoly";"wardrobe";"Telos Earring";"1"
"Olymoly";"wardrobe";"Fotia Belt";"1"
"Olymoly";"wardrobe";"Flume Belt";"1"
"Olymoly";"wardrobe";"Loricate Torque +1";"1"
"Olymoly";"wardrobe";"Twilight Cloak";"1"
"Olymoly";"wardrobe";"Sherida Earring";"1"
"Olymoly";"wardrobe";"Sheltered Ring";"1"
"Olymoly";"wardrobe";"Shiva Ring +1";"2"
"Olymoly";"wardrobe";"Cessance Earring";"1"
"Olymoly";"wardrobe";"Epaminondas's Ring";"1"
"Olymoly";"wardrobe";"Perimede Cape";"1"
"Olymoly";"wardrobe";"Grioavolr";"1"
"Olymoly";"wardrobe";"Luminary Sash";"1"
"Olymoly";"wardrobe";"Genmei Earring";"1"
"Olymoly";"wardrobe";"Suppanomimi";"1"
"Olymoly";"wardrobe";"Shadow Ring";"1"
"Olymoly";"wardrobe";"Dedition Earring";"1"
"Olymoly";"wardrobe";"Regal Ring";"1"
"Olymoly";"wardrobe";"Haruspex Hat +1";"1"
"Olymoly";"wardrobe";"Prosilio Belt +1";"1"
"Olymoly";"wardrobe";"Kentarch Belt +1";"1"
"Olymoly";"wardrobe";"Brutal Earring";"1"
"Olymoly";"wardrobe";"Hermes' Sandals";"1"
"Olymoly";"wardrobe";"Goading Belt";"1"
"Olymoly";"wardrobe";"Ilabrat Ring";"1"
"Olymoly";"wardrobe";"Moonshade Earring";"1"
"Olymoly";"wardrobe";"Chiner's Belt +1";"1"
"Olymoly";"wardrobe";"Yamabuki-no-Obi";"1"
"Olymoly";"wardrobe";"Chaac Belt";"1"
"Olymoly";"wardrobe";"Moonbeam Cape";"1"
"Olymoly";"wardrobe";"Seeth. Bomblet +1";"1"
"Olymoly";"wardrobe";"Leyline Gloves";"1"
"Olymoly";"wardrobe";"Ifrit Ring +1";"1"
"Olymoly";"wardrobe";"Ginsen";"1"
"Olymoly";"wardrobe";"Dingir Ring";"1"
"Olymoly";"wardrobe";"Begrudging Ring";"1"
"Olymoly";"wardrobe";"Knobkierrie";"1"
"Olymoly";"wardrobe";"Titan Ring";"1"
"Olymoly";"wardrobe";"Shulmanu Collar";"1"
"Olymoly";"wardrobe";"Shukuyu Ring";"1"
"Olymoly";"wardrobe";"Niqmaddu Ring";"1"
"Olymoly";"wardrobe";"Yamarang";"1"
"Olymoly";"wardrobe";"Pixie Hairpin +1";"1"
"Olymoly";"wardrobe";"Anu Torque";"1"
"Olymoly";"wardrobe";"Yetshila";"1"
"Olymoly";"wardrobe";"Kunaji Ring";"1"
"Olymoly";"wardrobe";"Reiki Yotai";"1"
"Olymoly";"wardrobe";"Etiolation Earring";"1"
"Olymoly";"wardrobe";"Kishar Ring";"1"
"Olymoly";"wardrobe";"Sanctity Necklace";"1"
"Olymoly";"wardrobe";"Defending Ring";"1"
"Olymoly";"wardrobe";"Stikini Ring";"2"
