"char";"storage";"item";"quantity"
"Olymoly";"inventory";"Vision Amethyst";"1"
"Olymoly";"inventory";"Khimaira Horn";"3"
"Olymoly";"inventory";"Charitoni Sling";"1"
"Olymoly";"inventory";"Hi-Reraiser";"1"
"Olymoly";"inventory";"Revertant";"1"
"Olymoly";"inventory";"Pixquizpan";"1"
"Olymoly";"inventory";"Gigas Gauntlets";"2"
"Olymoly";"inventory";"Tancho +1";"1"
"Olymoly";"inventory";"Coalition Serum";"2"
"Olymoly";"inventory";"Adventurer Cpn.";"1"
"Olymoly";"inventory";"Rala Visage I";"1"
"Olymoly";"inventory";"Iron Ore";"2"
"Olymoly";"inventory";"Tree Cuttings";"6"
"Olymoly";"inventory";"Euvhi Organ";"2"
"Olymoly";"inventory";"Cactus Stems";"2"
"Olymoly";"inventory";"Melon Pie";"1"
"Olymoly";"inventory";"Light Card Case";"1"
"Olymoly";"inventory";"Granite";"1"
"Olymoly";"inventory";"Bugbear Mask";"2"
"Olymoly";"inventory";"Lavarion";"1"
"Olymoly";"inventory";"Kusamochi";"1"
"Olymoly";"inventory";"Water Crystal";"1"
"Olymoly";"inventory";"Falling Star";"1"
"Olymoly";"inventory";"Pot-au-feu";"1"
"Olymoly";"inventory";"Buf. Milk Case";"2"
"Olymoly";"inventory";"Wamoura Hair";"2"
"Olymoly";"inventory";"Mog Pell (Red)";"1"
"Olymoly";"inventory";"Brass Canteen";"1"
"Olymoly";"inventory";"Loam";"1"
"Olymoly";"inventory";"Balisarde";"1"
"Olymoly";"inventory";"Titanium Ore";"1"
"Olymoly";"inventory";"Fine Linen Cloth";"1"
"Olymoly";"inventory";"Iga Sh. Pouch";"1"
"Olymoly";"inventory";"Russet Yggzi V";"1"
"Olymoly";"inventory";"Butterfly Cage";"1"
"Olymoly";"inventory";"Damascus Ingot";"1"
"Olymoly";"inventory";"Snowsteel Ore";"3"
"Olymoly";"inventory";"Mythril Sheet";"1"
"Olymoly";"inventory";"Yorcia Visage I";"2"
"Olymoly";"inventory";"Gem of the North";"1"
"Olymoly";"inventory";"Lynx Collar";"1"
"Olymoly";"inventory";"T Rice Cake";"1"
"Olymoly";"inventory";"Moblin Armor";"1"
"Olymoly";"inventory";"Airlixir +1";"5"
"Olymoly";"inventory";"Vanadium Ore";"1"
"Olymoly";"inventory";"Umbril Ooze";"5"
"Olymoly";"inventory";"Coalition Chum";"1"
"Olymoly";"inventory";"Marble Nugget";"4"
"Olymoly";"inventory";"Royal Bookshelf";"1"
"Olymoly";"inventory";"Aster Yggzi II";"1"
"Olymoly";"inventory";"H.Q. Pugil Scale";"1"
"Olymoly";"inventory";"Demon Quiver";"1"
"Olymoly";"inventory";"Red Grs. Thread";"1"
