"char";"storage";"item";"quantity"
"Olymoly";"inventory";"Glyphic Pigaches";"1"
"Olymoly";"inventory";"Cimmerian Sash";"1"
"Olymoly";"inventory";"Evans Earring";"1"
"Olymoly";"inventory";"Instant Warp";"1"
"Olymoly";"inventory";"Acantha Torque";"1"
"Olymoly";"inventory";"Nexus Cape";"1"
"Olymoly";"inventory";"Tali'ah Turban +1";"1"
"Olymoly";"inventory";"Beck. Doublet +1";"1"
"Olymoly";"inventory";"Gridarvor";"1"
"Olymoly";"inventory";"Trizek Ring";"1"
"Olymoly";"inventory";"Tali'ah Crackows +1";"1"
"Olymoly";"inventory";"Glyphic Horn +1";"1"
"Olymoly";"inventory";"Odorless Fungus";"1"
"Olymoly";"inventory";"Tali'ah Ring";"1"
"Olymoly";"inventory";"Shadow Lord Shirt";"1"
"Olymoly";"inventory";"Beckoner's Horn +1";"1"
"Olymoly";"inventory";"Vox Grip";"1"
"Olymoly";"inventory";"Mujin Obi";"1"
"Olymoly";"inventory";"Tali'ah Gages +1";"1"
"Olymoly";"inventory";"Darraigner's Brais";"1"
"Olymoly";"inventory";"Carnal Torque";"1"
"Olymoly";"inventory";"Ab.Abjuration: Lg.";"1"
"Olymoly";"inventory";"Eminent Sachet";"1"
"Olymoly";"inventory";"Sublime Sushi";"7"
"Olymoly";"inventory";"Con. Spats +1";"1"
"Olymoly";"inventory";"Beckoner's Bracers";"1"
"Olymoly";"inventory";"Evoker's Ring";"1"
"Olymoly";"inventory";"Con. Horn +1";"1"
"Olymoly";"inventory";"Rimeice Earring";"1"
"Olymoly";"inventory";"Con. Pigaches";"1"
"Olymoly";"inventory";"H. Kindred Crest";"2"
"Olymoly";"inventory";"Glyphic Doublet +1";"1"
"Olymoly";"inventory";"Kobo Obi";"1"
"Olymoly";"inventory";"Voidtorso: THF";"3"
"Olymoly";"inventory";"Con. Bracers";"1"
"Olymoly";"inventory";"Ab.Abjuration: Hn.";"1"
"Olymoly";"inventory";"Glyphic Bracers";"1"
"Olymoly";"inventory";"Caller's Pendant";"1"
"Olymoly";"inventory";"Carbuncle Mitts";"1"
"Olymoly";"inventory";"Con. Doublet +1";"1"
"Olymoly";"inventory";"Enticer's Pants";"1"
"Olymoly";"inventory";"P. THF Card";"22"
"Olymoly";"inventory";"Tali'ah Manteel +1";"1"
"Olymoly";"inventory";"Eminent Pole";"1"
"Olymoly";"inventory";"Merlinic Dastanas";"1"
"Olymoly";"inventory";"Ab.Abjuration: Ft.";"1"
"Olymoly";"inventory";"Conveyance Cape";"1"
"Olymoly";"inventory";"Ab.Abjuration: Hd.";"1"
"Olymoly";"inventory";"Apogee Crown";"1"
"Olymoly";"inventory";"Silver Voucher";"20"
"Olymoly";"inventory";"S. Kindred Crest";"4"
"Olymoly";"inventory";"Sacrifice Torque";"1"
"Olymoly";"inventory";"Shomonjijoe +1";"1"
"Olymoly";"inventory";"Copper Voucher";"3"
"Olymoly";"inventory";"Glyphic Spats +1";"1"
"Olymoly";"inventory";"Melic Torque";"1"
"Olymoly";"inventory";"Gelos Earring";"1"
"Olymoly";"inventory";"Herculean Gloves";"1"
"Olymoly";"inventory";"Enmerkar Earring";"1"
"Olymoly";"inventory";"Herculean Boots";"1"
"Olymoly";"inventory";"Campestres's Cape";"4"
"Olymoly";"inventory";"Lamassu Mitts";"1"
"Olymoly";"inventory";"Adad Amulet";"1"
"Olymoly";"inventory";"Beck. Spats +1";"1"
"Olymoly";"inventory";"Beck. Pigaches";"1"
"Olymoly";"inventory";"Torsoshard: THF";"5"
"Olymoly";"wardrobe";"Moonshade Earring";"1"
"Olymoly";"wardrobe";"Jute Boots +1";"1"
"Olymoly";"wardrobe";"Dark Ring";"1"
"Olymoly";"wardrobe";"Tripudio Earring";"1"
"Olymoly";"wardrobe";"Rajas Ring";"1"
"Olymoly";"wardrobe";"Hachirin-no-Obi";"1"
"Olymoly";"wardrobe";"Enchntr. Earring +1";"1"
"Olymoly";"wardrobe";"Dosis Tathlum";"1"
"Olymoly";"wardrobe";"Fucho-no-Obi";"1"
"Olymoly";"wardrobe";"Merman's Earring";"1"
"Olymoly";"wardrobe";"Iskur Gorget";"1"
"Olymoly";"wardrobe";"Telos Earring";"1"
"Olymoly";"wardrobe";"Fotia Belt";"1"
"Olymoly";"wardrobe";"Flume Belt";"1"
"Olymoly";"wardrobe";"Loricate Torque +1";"1"
"Olymoly";"wardrobe";"Twilight Cloak";"1"
"Olymoly";"wardrobe";"Sherida Earring";"1"
"Olymoly";"wardrobe";"Sheltered Ring";"1"
"Olymoly";"wardrobe";"Shiva Ring +1";"2"
"Olymoly";"wardrobe";"Cessance Earring";"1"
